id	frequency	board	fill	hasQR
0053ec4563fb7324591ab128c3c89949	4058	Kw,Pw,Rb,Bw,Qb,Pb,Rw,Pw,Kb,,,,,,,Pb,Pb,,,,,,,Qb,Nw,,,Qb,Qb,,,Bw,Bb,,,Qb,Qb,,,Rb,Qw,,,,,,,Pw,Pw,,,,,,,Qw,Qb,Pw,Nb,Bb,Kw,Pb,Nw,Qb	darkGray	0
012b403649a58fdb0df2a375f4e9bcf6	2387	Rb,Qb,Bw,Rb,Pw,Qw,Bb,Rb,Nw,,,,,,,Nw,Qb,,,,,,,Bb,Kw,,,Pb,Pb,,,Kw,Rw,,,Pb,Pb,,,Pw,Nb,,,,,,,Nb,Qw,,,,,,,Bw,Rw,Pb,Rw,Bb,Qw,Pw,Rb,Qw	lightRed	0
0316cc4d1571a68f459d5a10aa245700	2460	Pw,Qb,Bw,Rw,Pb,Qw,Bb,Qb,Rb,,,,,,,Pw,Bw,,,,,,,Qw,Qw,,,,,,,Bb,Pw,,,,,,,Rw,Rw,,,,,,,Pb,Bb,,,,,,,Kb,Nw,Nb,Pw,Kb,Bw,Nw,Pb,Kb	lightRed	0
03ec5205778d49b5f95a61437afe77b4	191	Qw,Rb,Nw,Qw,Kb,Pw,Nb,Rb,Rb,,,,,,,Kw,Bw,,,,,,,Bb,Qb,,,,,,,Nb,Pb,,,,,,,Pw,Rw,,,,,,,Kb,Bb,,,,,,,Bw,Rw,Kb,Pb,Nb,Bw,Kw,Pw,Qb	lightGray	0
04d693eae197635f687997391972a7ea	69	Bw,Nb,Pw,Kb,Bw,Nw,Pb,Bw,Nw,,,,,,,Nb,Pb,,,,,,,Qw,Kb,,,Nw,Nw,,,Kw,Bw,,,Nw,Nw,,,Rw,Nb,,,,,,,Nw,Pw,,,,,,,Qb,Nw,Bb,Rw,Kb,Qw,Nw,Rb,Nb	lightGray	0
058a745aa4740c625363d7fae9ee703c	100	Rb,Rb,Nw,Qw,Kb,Rw,Nb,Rb,Nb,,,,,,,Qb,Pw,,,,,,,Pb,Kb,,,,,,,Rb,Bw,,,,,,,Bw,Rw,,,,,,,Qw,Pb,,,,,,,Pw,Rw,Nw,Bb,Kb,Pb,Nb,Bw,Kb	lightRed	0
09d8508656d8b650a06ad309b77311c1	3517	Rb,Nb,Bw,Kb,Pb,Nw,Bb,Rw,Pb,,,,,,,Pb,Kb,,,,,,,Qb,Qw,,,,,,,Bw,Nb,,,,,,,Nb,Pw,,,,,,,Pw,Kw,,,,,,,Qw,Qb,Rw,Kw,Qw,Nb,Rb,Pw,Kw	lightRed	0
0d65ef7629e71db56a492eaf103c22e4	2881	Bw,Bb,Nw,Pb,Kb,Bw,Rb,Pw,Pb,,,,,,,Nb,Rw,,,,,,,Qw,Bw,,,,,,,Kw,Kb,,,,,,,Rw,Pw,,,,,,,Nw,Nb,,,,,,,Qb,Qb,Kw,Bb,Nb,Pw,Kb,Qw,Rb	lightGray	0
0da74ca0ac56ecbd4c4e9f51083fe138	2966	Pb,Rw,Bb,Qw,Pw,Nb,Bw,Rw,Bw,,,,,,,Qw,Qb,,,,,,,Nb,Pb,,,,,,,Rw,Rw,,,,,,,Kw,Bb,,,,,,,Qb,Qw,,,,,,,Nw,Kb,Nw,Qb,Kb,Rb,Nb,Bw,Qb	darkRed	0
0db35de764f9f6753086ca78c58ee898	445	Rw,Qw,Nb,Rb,Kb,Qb,Nw,Rw,Nb,,,,,,,Pw,Pw,,,,,,,Qw,Kb,,,,,,,Bw,Bw,,,,,,,Rb,Nw,,,,,,,Pb,Pb,,,,,,,Qb,Rb,Bw,Kb,Pb,Nw,Bb,Kw,Qb	lightRed	0
